"ID","niscode","twtot","TOTAALBEV","DENSITEIT","diff","aandeel","originID.x","destID.x","oX","oY","stay","originID.y","move_to","destID.y","move_from","resident","inflow","outflow","resident255","inflow255","outflow255"
66,91120,905,5027,52.8655994300653,-82,18,66,66,5.32987110272383,50.2970376234673,480,66,1096,66,236,0.264900662251656,0.130242825607064,0.60485651214128,67.5496688741722,33.2119205298013,154.238410596026
67,56044,2446,5693,177.440225427942,-57,43,67,67,4.24265219458809,50.3568713502722,540,67,1525,67,1762,0.141102691403188,0.460412856022995,0.398484452573818,35.9811863078129,117.405278285864,101.613535406323
68,91059,1161,7070,92.5210280209028,-83.6,16.4,68,68,5.14138845631764,50.3317563676267,679,68,1956,68,321,0.229702300405954,0.108592692828146,0.6617050067659,58.5740866035183,27.6911366711773,168.734776725304
69,53083,764,5058,115.863245086223,-84.9,15.1,69,69,3.72707481975988,50.3530239807556,470,69,1221,69,245,0.242768595041322,0.12654958677686,0.630681818181818,61.9059917355372,32.2701446280992,160.823863636364
70,92087,1944,12789,109.511197808975,-84.8,15.2,70,70,4.67717812516839,50.3185719263383,1209,70,3630,70,526,0.225349487418453,0.0980428704566636,0.676607642124884,57.4641192917055,25.0009319664492,172.534948741845
71,84077,5670,10579,59.4781762966767,-46.4,53.6,71,71,5.42376938292956,49.9400845822559,1860,71,1882,71,3308,0.263829787234043,0.469219858156028,0.266950354609929,67.2765957446808,119.651063829787,68.0723404255319
72,82036,1128,5235,38.5297775822037,-78.5,21.5,72,72,5.61105303628934,49.9297323437309,653,72,908,72,320,0.3471557682084,0.170122275385433,0.482721956406167,88.5247208931419,43.3811802232855,123.094098883573
73,91015,803,3218,29.3641358799564,-75,25,73,73,5.02035956462208,49.9187610802606,444,73,604,73,256,0.340490797546012,0.196319018404908,0.46319018404908,86.8251533742331,50.0613496932515,118.113496932515
74,84050,2346,5220,46.2123842922016,-55.1,44.9,74,74,5.12731165796049,49.8999641785991,759,74,970,74,1099,0.268387553041018,0.388613861386139,0.342998585572843,68.4388260254597,99.0965346534654,87.464639321075
75,82009,333,2216,29.9002918368331,-85,15,75,75,5.70218951697797,49.8675386300659,193,75,248,75,48,0.394683026584867,0.098159509202454,0.507157464212679,100.644171779141,25.0306748466258,129.325153374233
76,84009,2871,8494,61.6847392035094,-66.2,33.8,76,76,5.24622615311253,49.8460766715108,1281,76,1534,76,1400,0.303914590747331,0.33214709371293,0.363938315539739,77.4982206405694,84.6975088967971,92.8042704626335
77,91143,673,2743,27.1482537932385,-75.5,24.5,77,77,4.91671401988935,49.8476179896,441,77,293,77,154,0.496621621621622,0.173423423423423,0.329954954954955,126.638513513514,44.222972972973,84.1385135135135
78,31012,3560,13781,256.319939065008,-74.2,25.8,78,78,3.09810667336363,51.1864769273391,1624,78,4166,78,1535,0.221706484641638,0.209556313993174,0.568737201365188,56.5351535836177,53.4368600682594,145.027986348123
79,44045,916,6162,163.014902689071,-85.1,14.9,79,79,3.94646440968383,51.1812713970035,574,79,1735,79,184,0.230244685118331,0.0738066586442038,0.695948656237465,58.7123947051745,18.820697954272,177.466907340554
80,35014,2129,9110,257.468253895804,-76.6,23.4,80,80,3.0167802759329,51.184069355487,970,80,2651,80,988,0.210457799956607,0.214363202430028,0.575178997613365,53.6667389889347,54.6626166196572,146.670644391408
81,43018,3715,12491,911.388799366559,-70.3,29.7,81,81,3.80755721101072,51.1984650245792,1319,81,3175,81,1969,0.204084790345041,0.304657279900975,0.491257929753984,52.0416215379855,77.6876063747486,125.270772087266
82,13011,17579,27368,563.583053810444,-35.8,64.2,82,82,4.83298537575873,51.1647965848175,4730,82,6892,82,11973,0.2004662004662,0.507438016528926,0.292095783004874,51.1188811188811,129.396694214876,74.4844246662429
